排名,学号,加权平均分
1,2023211233,93.96
2,2023211759,93.27
3,2023211157,92.75
4,2023211300,92.6
5,2023210955,92.49
6,2023211102,92.43
7,2023210797,92.38
8,2023211252,92.34
9,2023211103,91.84
10,2023211164,91.72
11,2023212539,91.7
12,2023210914,91.65
13,2023211088,91.55
14,2023210710,91.27
15,2023211260,91.08
16,2023212122,90.99
17,2023210983,90.46
18,2023210894,90.35
19,2023211235,90.12
20,2023211011,90.11
21,2023210990,90.04
22,2023211173,89.91
23,2023211003,89.84
24,2023211129,89.77
25,2023211108,89.7
26,2023211196,89.59
27,2023211047,89.56
28,2023211004,89.49
29,2023211273,89.44
30,2023211236,89.41
31,2023211964,89.36
32,2023211007,89.28
33,2023211111,89.22
34,2023211166,89.11
35,2023212350,89.01
36,2023210886,88.89
37,2023212334,88.89
38,2023210985,88.83
39,2023210992,88.81
40,2023210896,88.78
41,2023211127,88.75
42,2023211093,88.73
43,2023211258,88.72
44,2023211000,88.65
45,2023211255,88.62
46,2023211057,88.61
47,2023211959,88.6
48,2023210945,88.59
49,2023211304,88.53
50,2023211038,88.49
51,2023211314,88.37
52,2023211728,88.37
53,2023211161,88.37
54,2023210884,88.28
55,2023210885,88.25
56,2023211020,88.2
57,2023211045,88.19
58,2023211256,88.19
59,2023211239,88.18
60,2023210888,88.17
61,2023211310,88.13
62,2023210984,87.96
63,2023211041,87.94
64,2023211104,87.86
65,2023210952,87.81
66,2023211231,87.76
67,2023211190,87.73
68,2023211345,87.72
69,2023210958,87.72
70,2023210994,87.69
71,2023210956,87.65
72,2023211089,87.61
73,2023211116,87.57
74,2023212516,87.46
75,2023211156,87.46
76,2023211126,87.36
77,2023210922,87.16
78,2023211040,87.12
79,2023212460,87.11
80,2023210920,87.03
81,2023210047,86.97
82,2023211269,86.95
83,2022211419,86.95
84,2023210986,86.94
85,2023211180,86.93
86,2023211283,86.89
87,2023211098,86.86
88,2023211076,86.84
89,2023211234,86.71
90,2023211016,86.68
91,2023212304,86.59
92,2023212832,86.53
93,2023211218,86.49
94,2023211053,86.43
95,2023211301,86.41
96,2023210900,86.36
97,2023211201,86.32
98,2023211188,86.27
99,2023211209,86.21
100,2023211050,86.18
101,2023211212,86.16
102,2023211288,86.12
103,2023211150,86.1
104,2023211227,86.07
105,2023211280,86.07
106,2023210905,86.07
107,2023211100,86.06
108,2023211144,86.01
